,날짜,종가,전일비,시가,고가,저가,거래량,등락률,카테고리,마켓,등락률그룹
삼부토건,2021-08-09,3185,-105,3315,3315,3175,2868044,-3.1914893617021276,건설업,KOSPI,-2 ~ -4%
티케이케미칼,2021-08-09,6850,-180,7010,7020,6620,2865306,-2.5604551920341394,제조업,KOSDAQ,-2 ~ -4%
HMM,2021-08-09,39650,-300,40050,40600,39300,2841129,-0.7509386733416771,운수창고업,KOSPI,0 ~ -2%
한창,2021-08-09,1595,-50,1640,1640,1565,2836728,-3.0395136778115504,유통업,KOSPI,-2 ~ -4%
동양철관,2021-08-09,1685,-50,1735,1740,1685,2813484,-2.881844380403458,철강금속,KOSPI,-2 ~ -4%
씨아이에스,2021-08-09,12050,350,11700,12400,11500,2780745,2.9914529914529915,제조업,KOSDAQ,2 ~ 4%
동양,2021-08-09,1820,-95,1900,1905,1810,2777066,-4.960835509138381,비금속광물,KOSPI,-4 ~ -6%
씨티씨바이오,2021-08-09,11750,750,11350,12350,10800,2762852,6.8181818181818175,제조업,KOSDAQ,6 ~ 8%
자연과환경,2021-08-09,2275,-135,2385,2385,2250,2758478,-5.601659751037345,기타서비스,KOSDAQ,-4 ~ -6%
에이티넘인베스트,2021-08-09,4440,225,4300,4620,4290,2721402,5.338078291814947,금융,KOSDAQ,4 ~ 6%
상신이디피,2021-08-09,19300,1900,17650,19700,17500,2709513,10.919540229885058,코스닥 IT,KOSDAQ,8% 이상
대유에이텍,2021-08-09,1465,60,1415,1480,1405,2694244,4.270462633451958,운수장비,KOSPI,4 ~ 6%
SK하이닉스,2021-08-09,116000,-2000,117500,118000,116000,2671795,-1.694915254237288,전기전자,KOSPI,0 ~ -2%
세원이앤씨,2021-08-09,988,-32,1015,1020,987,2670594,-3.1372549019607843,기계,KOSPI,-2 ~ -4%
코프라,2021-08-09,7210,410,6800,7430,6720,2662187,6.029411764705882,제조업,KOSDAQ,6 ~ 8%
세종텔레콤,2021-08-09,688,-7,694,696,688,2632201,-1.0071942446043165,코스닥 IT,KOSDAQ,0 ~ -2%
웅진,2021-08-09,2585,-105,2650,2750,2580,2612485,-3.903345724907063,금융업,KOSPI,-2 ~ -4%
대성엘텍,2021-08-09,1145,-55,1200,1220,1130,2606523,-4.583333333333333,제조업,KOSDAQ,-4 ~ -6%
제넨바이오,2021-08-09,1900,-20,1920,1960,1870,2557847,-1.0416666666666665,유통,KOSDAQ,0 ~ -2%
신성통상,2021-08-09,4180,100,4080,4270,4015,2550061,2.450980392156863,유통업,KOSPI,2 ~ 4%
이엔플러스,2021-08-09,4030,-155,4195,4500,3975,2544128,-3.7037037037037033,기계,KOSPI,-2 ~ -4%
대유플러스,2021-08-09,1420,-65,1480,1485,1395,2464989,-4.377104377104377,전기전자,KOSPI,-4 ~ -6%
SK바이오사이언스,2021-08-09,232500,-12000,236500,240500,230000,2245806,-4.9079754601226995,의약품,KOSPI,-4 ~ -6%
팬오션,2021-08-09,7450,-90,7550,7590,7420,2123939,-1.1936339522546418,운수창고업,KOSPI,0 ~ -2%
LG디스플레이,2021-08-09,21950,-300,22250,22450,21950,2037092,-1.348314606741573,전기전자,KOSPI,0 ~ -2%
남선알미늄,2021-08-09,3985,-100,4075,4085,3985,2014829,-2.4479804161566707,철강금속,KOSPI,-2 ~ -4%
진원생명과학,2021-08-09,42400,-800,43200,43200,41250,2012381,-1.8518518518518516,의약품,KOSPI,0 ~ -2%
DB,2021-08-09,1115,-35,1150,1150,1105,2006307,-3.0434782608695654,서비스업,KOSPI,-2 ~ -4%
한화생명,2021-08-09,3465,-30,3520,3535,3455,1991039,-0.8583690987124464,금융업,KOSPI,0 ~ -2%
대창,2021-08-09,2575,-70,2650,2660,2570,1987998,-2.6465028355387523,철강금속,KOSPI,-2 ~ -4%
대우건설,2021-08-09,7110,-130,7220,7220,7070,1987749,-1.7955801104972375,건설업,KOSPI,0 ~ -2%
SK증권,2021-08-09,990,-5,997,997,990,1981037,-0.5025125628140703,금융업,KOSPI,0 ~ -2%
에이엔피,2021-08-09,2255,-15,2350,2445,2180,1962238,-0.6607929515418502,전기전자,KOSPI,0 ~ -2%
우리금융지주,2021-08-09,11100,50,11150,11200,11100,1958995,0.4524886877828055,금융업,KOSPI,0 ~ 2%
조일알미늄,2021-08-09,1360,0,1350,1395,1330,1913262,0.0,철강금속,KOSPI,0 ~ -2%
